ID,reviewed,tracker items,label,alternative term,FGED alternative term,IEDB alternative term,ISA alternative term,NIAID GSCID-BRC alternative term,definition,definition source,example of usage,editor note,curator note,term editor,has curation status,logical type,equivalent classes,parent classes,main processes (has_part)  order process using preceded by,evaluant (realizes some ('evaluant role' and (' role of' some X))),evaluant (realizes some ('evaluant role' and ('inheres in' some X))),evaluant (X and ('has role' some 'evaluant role')),analyte (realizes some ('analyte role' and ('role of' some X),analyte (realizes some ('analyte role' and ('inheres in' some X),device,input (has_specified_input),main input,outputs X   (has_specified_output some X),outputs Y   (some X and (is_about Y)),objective,comment,associated axioms
OBI:0001857,FALSE,,RNP (ribonuclear particle) immunoprecipitation high- throughput sequencing assay,RIP-seq assay|RIP-seq,,,,,An assay that combines immunoprecipitation of an RNA-binding protein and RNA-seq to identify mRNAs associated with selected RNA binding proteins (RBPs).,Zhao et al. Genome-wide identification of polycomb-associated RNAs by RIP-seq. Molecular Cell (2010) vol. 40 (6) pp. 939-53 [PMID:21172659],Zhao et al. Genome-wide identification of polycomb-associated RNAs by RIP-seq. Molecular Cell (2010) vol. 40 (6) pp. 939-53 [PMID:21172659],,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,"analyte assay, sequencing assay","immunoprecipitation, library preparation, cross linking, RNA sequencing",,,protein complex,,,"DNA sequencer, sonicator",protein complex,protein,DNA sequence data,,protein and RNA interaction identification objective,,
OBI:0001858,FALSE,,cross-linking immunoprecipitation high-throughput sequencing assay,HITS-CLIP|CLIP-seq|CLIP-seq assay,,,,,"An assay that employs UV-crosslinking between RNA and the protein, followed by immunoprecipitation with antibodies for the protein, fragmentation, and high-throughput used for screening for RNA sequences that interact with a particular RNA-binding protein.",Licatalosi et al. HITS-CLIP yields genome-wide insights into brain alternative RNA processing. Nature. 2008 Nov 27 456: 464-469 [PMID:18978773],Heulga et al. Integrative genome-wide analysis reveals cooperative regulation of alternative splicing by hnRNP proteins. Cell Rep. 2012 Feb 23;1(2):167-78. [PMID:22574288],,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,"analyte assay, sequencing assay","immunoprecipitation, library preparation, cross linking, RNA sequencing",,,protein complex,,,,protein complex,protein,DNA sequence data,,protein and RNA interaction identification objective,,
OBI:0001859,FALSE,,formaldehyde-assisted isolation of regulatory elements assay,FAIRE-seq assay|FAIRE-seq,,,,,An assay to determine the sequences of those DNA regions in the genome associated with regulatory activity.,http://en.wikipedia.org/wiki/FAIRE-Seq,"Giresi, et al. FAIRE (Formaldehyde-Assisted Isolation of Regulatory Elements) isolates active regulatory elements from human chromatin. Genome Research 17 (6): 877äóñ85. [PMID:17179217]",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,DNA sequencing,"DNA sequencing, library preparation, cross linking",,,deoxyribonucleic acid,,,,deoxyribonucleic acid,DNA,DNA sequence data,,protein and DNA interaction identification objective,,
OBI:0001861,FALSE,,methylation-sensitive restriction enzyme sequencing assay,MRE-seq|MRE-seq assay,,,,,An assay that identifies unmethylated CpGs by  use of methylation sensitive restriction enzymes to fragment DNA.,Maunakea et al. Conserved role of intragenic DNA methylation in regulating alternative promoters. Nature. 2010 Jul 8;466(7303):253-7. [PMID:20613842],Maunakea et al. Conserved role of intragenic DNA methylation in regulating alternative promoters. Nature. 2010 Jul 8;466(7303):253-7. [PMID:20613842],,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,"DNA sequencing, DNA methylation profiling by high throughput sequencing assay","DNA sequencing, library preparation, specific enzymatic cleavage",,,deoxyribonucleic acid,,,,deoxyribonucleic acid,DNA,DNA sequence data,regulation of DNA methylation,epigenetic modification identification objective,,
OBI:0001862,FALSE,,reduced representation bisulfite sequencing assay,reduced representation bisulfite-seq|RRBS|RRBS assay,,,,,A bisulfite sequencing assay that identifies genomic methylation patterns by using a bisulfite based protocol that enriches CG-rich parts of the genome.,Meissner et al. Reduced representation bisulfite sequencing for comparative high-resolution DNA methylation analysis. Nucleic Acids Res. 2005; 33(18): 5868äóñ5877. [PMCID: PMC1258174],Meissner et al. Reduced representation bisulfite sequencing for comparative high-resolution DNA methylation analysis. Nucleic Acids Res. 2005; 33(18): 5868äóñ5877. [PMCID: PMC1258174],,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,bisulfite sequencing,"library preparation, specific enzymatic cleavage",,,,,,,,,,,,,
OBI:0001863,FALSE,,shotgun bisulfite-seq assay,WGBS|Shotgun bisulfite sequencing|whole genome bisulfite sequencing|WGSBS|whole-genome shotgun bisulfite sequencing,,,,,A bisulfite sequencing assay that identifies methylated cytosines across the genome using high throughput sequencing.,Cokus et al. Shotgun bisulfite sequencing of the Arabidopsis genome reveals DNA methylation patterning. Nature. 2008 Mar 13;452(7184):215-9. [PMID:18278030],Cokus et al. Shotgun bisulfite sequencing of the Arabidopsis genome reveals DNA methylation patterning. Nature. 2008 Mar 13;452(7184):215-9. [PMID:18278030].,,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,bisulfite sequencing,library preparation,,,,,,sonicator,,,,,,,
OBI:0001864,FALSE,,RNA Annotation and Mapping of Promoters for the Analysis of Gene Expression assay,RAMPAGE,,,,,"An assay that identifies transcription start sites (TSS), the quantification of their expression and the characterization
of their transcripts using high throughput sequencing.",Batut et al. High-fidelity promoter profiling reveals widespread alternative promoter usage and transposon-driven developmental gene expression. Genome Research. 2013 Jan;23(1):169-80. [PMID:22936248],Batut et al. High-fidelity promoter profiling reveals widespread alternative promoter usage and transposon-driven developmental gene expression. Genome Research. 2013 Jan;23(1):169-80. [PMID:22936248],,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,"transcription profiling assay, sequencing assay","library preparation, RNA sequencing, non specific enzymatic cleavage",,,ribonucleic acid,,,DNA sequencer,ribonucleic acid,RNA,DNA sequence data,,transcription start site identificaton objective,,
OBI:0001915,FALSE,,DNA replication timing by array assay,Repli-chip|Repli-chip assay,,,,,An assay in which timing of DNA replication is quantified as a function of genome position using array technology.,Hiranti et al. Global reorganization of replication domains during embryonic stem cell differentiation. PLoS Biol. 2008 October 7;6(10):e245 [PMID:18842067],Hiranti et al. Global reorganization of replication domains during embryonic stem cell differentiation. PLoS Biol. 2008 October 7;6(10):e245 [PMID:18842067],,,"Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,assay,"immunoprecipitation, library preparation, multiplex ligation-mediated amplification",deoxyribonucleic acid,,,,,"flow cytometer sorter, DNA microarray",5-bromo-2'-deoxyuridine,reagent,measurement datum,DNA replication,DNA replication identification objective,,
OBI:0001918,FALSE,,RNA-binding protein immunoprecipitation array profiling assay,RIP-chip assay|RIP-chip,,,,,An assay that combines immunoprecipitation of an RNA-binding protein and array technology to identify mRNAs associated with selected RNA binding proteins (RBPs).,Jain et al. RIP-Chip analysis: RNA-Binding Protein Immunoprecipitation-Microarray (Chip) Profiling. Methods Mol Biol. 2011;703:247-63. [PMID:21125495],Jain et al. RIP-Chip analysis: RNA-Binding Protein Immunoprecipitation-Microarray (Chip) Profiling. Methods Mol Biol. 2011;703:247-63. [PMID:21125495],,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,analyte assay,"immunoprecipitation, library preparation",protein complex,,,,,DNA microarray,,,measurement datum,,protein and RNA interaction identification objective,,
OBI:0001919,FALSE,,Carbon-copy chromosome conformation capture assay,5C|5C assay,,,,,An assay that is used to analyze the organization of chromosomes at the genome-wide scale.,"""Dostie et al. Chromosome Conformation Capture Carbon Copy (5C): a massively parallel solution for mapping interactions between genomic elements. Genome Res. 2006 October; 16(10):1299-309.[PMID:16954542]""",van Berkum et al. Determining spatial chromatin organization of large genomic regions using 5C technology. Methods Mol Biol (2009) vol. 567 pp. 189-213 [PMID:19588094],,,"Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,sequencing assay,"DNA sequencing, library preparation, cross linking, multiplex ligation-mediated amplification, specific enzymatic cleavage",deoxyribonucleic acid,,,,,DNA sequencer,,,DNA sequence data,,chromosome conformation identification objective,,
OBI:0001920,FALSE,,DNA replication timing by sequencing assay,Repli-seq assay|Repli-seq,,,,,An assay in which timing of DNA replication is quantified as a function of genome position based on genome-wide sequencing.,Hansen et al. Sequencing newly replicated DNA reveals widespread plasticity in human replication timing. Proc Natl Acad Sci U S A. 2010 January 5; 107(1): 139äóñ144. [PMID:19966280],Hansen et al. Sequencing newly replicated DNA reveals widespread plasticity in human replication timing. Proc Natl Acad Sci U S A. 2010 January 5; 107(1): 139äóñ144. [PMID:19966280],,,"Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,sequencing assay,"DNA sequencing, immunoprecipitation",deoxyribonucleic acid,,,,,"flow cytometer sorter, DNA sequencer",5-bromo-2'-deoxyuridine,reagent,DNA sequence data  information content entity,DNA replication,DNA replication identification objective,,
OBI:0001921,FALSE,,RNA-binding protein immunoprecipitation tiling array profiling,,,,,,A RNA-binding protein immunoprecipitation array profiling assay that combines immunoprecipitation of an RNA-binding protein and RNA tiling array  to identify mRNAs associated with selected RNA binding proteins (RBPs).,Jain et al. RIP-Chip analysis: RNA-Binding Protein Immunoprecipitation-Microarray (Chip) Profiling. Methods Mol Biol. 2011;703:247-63. [PMID:21125495],Jain et al. RIP-Chip analysis: RNA-Binding Protein Immunoprecipitation-Microarray (Chip) Profiling. Methods Mol Biol. 2011;703:247-63. [PMID:21125495],,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,RNA-binding protein immunoprecipitation array profiling assay,,,,,,,tiling microarray,,,,,,,
OBI:0001922,FALSE,,microRNA profiling by high throughput sequencing assay,microRNA-seq assay|microRNA-seq|miRNA-seq,,,,,A RNA-seq assay in which high throughput sequencing technology is used to analyse the microRNA component of the transcriptome.,http://www.ebi.ac.uk/efo/EFO_0002896,"Juhlia et al. MicroRNA expression profiling reveals miRNA families regulating 
specific biological pathways in mouse frontal cortex and hippocampus. PLoS One. 2011;6(6). [PMID: 21731767]",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,"RNA-seq assay, microRNA profiling assay",library preparation,ribonucleic acid,,,,,,,,measured expression level,miRNA,,,
OBI:0001923,FALSE,,protein sequencing by tandem mass spectrometry assay,,,,,,A sequencing assay in which amino acid sequences of proteins is determined using multiple rounds of mass spectrometry and molecule fragmentation.,Hunt et al. Protein sequencing by tandem mass spectrometry. Proc Natl Acad Sci U S A. 1986;83(17): 6233äóñ6237. [PMID:3462691],Taylor et al.Implementation and uses of automated de novo peptide sequencing by tandem mass spectrometry. Anal Chem. 2001 Jun;73(11):2594-604. [PMID:11403305],,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,sequencing assay,protease cleavage,protein,,,,,tandem mass spectrometer,,,sequence data,,,,
OBI:0001924,FALSE,,micrococcal nuclease digestion followed by high throughput sequencing assay,MNase-seq assay|MNase-seq,,,,,An assay to identify nucleosome positioning by genome wide sequencing of regions senstative to digestion by micrococal nuclease,Johnson et al. Flexibility and constraint in the nucleosome core landscape of Caenorhabditis elegans chromatin. Genome Res. 2006 Dec;16(12):1505-16. [PMID:17038564],Cui et al.Genome-wide approaches to determining nucleosome occupancy in metazoans using MNase-Seq. Methods Mol Biol. 2012;833:413-9. [PMID:22183607],,JZ: should be inferred as 'DNA sequencing'. Will check in the future.,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,sequencing assay,"library preparation, non specific enzymatic cleavage",deoxyribonucleic acid,,,,,DNA sequencer,,,DNA sequence data,,protein and DNA interaction identification objective,,
OBI:0001925,FALSE,,chromatin immunoprecipitation with exonuclease sequencing assay,ChIP-exo assay,,,,,A ChIP-seq assay to identify protein binding sites using an exonuclease  to provide greater binding resolution of immunoprecipitation assay by genome wide sequencing.,Rhee et al. Comprehensive Genome-wide Protein-DNA Interactions Detected at Single-Nucleotide Resolution. Cell. 2011 Dec;147(6):1408-19. [PMID:22153082],Rhee et al. Comprehensive Genome-wide Protein-DNA Interactions Detected at Single-Nucleotide Resolution. Cell. 2011 Dec;147(6):1408-19. [PMID:22153082],,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,ChIP-seq assay,"cross linking, specific enzymatic cleavage",protein complex,,,,,sonicator,,,DNA sequence data,,,,
OBI:0001926,FALSE,,microRNA profiling assay,microRNA expression assay|miRNA expression assay,,,,,A transcription profiling assay in which aims to quantify the microRNA species within a biological sample.,Kolbert et al. Multi-Platform Analysis of MicroRNA Expression Measurements in RNA from Fresh Frozen and FFPE Tissues. PLoS One. 2013;8(1):e52517 [PMID: 23382819],,,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",metadata complete,subclass,transcription profiling assay' and (has_specified_output some ('measured expression level' and ('is about' some miRNA))),transcription profiling assay,,ribonucleic acid,,,,,,,,measured expression level,miRNA,,,
OBI:0001954,FALSE,,ChIP assay,chromatin immunoprecipitation assay,,,,,"An assay in which protein-DNA complexes are extracted from short regions of chromatin and are reversibly cross linked, immunoprecipitated with antibodies or tags, purified, and amplified with the aim of analysis gene- and promoter-specific known targets","adapted from CHS protocols, wikipedia, life tech, ChIP-seq term definition","PMID: 6379641
Gilmour & Lis. Proc Natl Acad Sci U S A. 1984 Jul;81(14):4275-9.
and can be found linked from here:
",,"as per user (pployd) request and proposal by Alan Ruttenberg
http://sourceforge.net/p/obi/obi-terms/707/",Philippe Rocca-Serra,ready for release,subclass,,"assay using chromatin immunoprecipitation, epigenetic modification assay",immunoprecipitation,,,,deoxyribonucleic acid,,,specimen and ('has part' some 'deoxyribonucleic acid' and 'protein complex)),DNA and protein complex,information content entity,"chromatin remodeling' or 'regulation of molecular function, epigenetic' or 'sequence-specific DNA binding' or 'transcription factor binding site",epigenetic modification identification objective  protein and DNA interaction identification objective,,
OBI:0001956,FALSE,,assay using chromatin immunoprecipitation,,,,,,an assay which uses immunoprecipitation and which produces data about protein-DNA interaction or DNA epigenetic modification,,http://www.lifetechnologies.com/uk/en/home/life-science/epigenetics-noncoding-rna-research/chromatin-remodeling/chromatin-immunoprecipitation-chip.html,"as per user (pployd) request and proposal by Alan Ruttenberg
http://sourceforge.net/p/obi/obi-terms/707/",,PERSON: Philippe Rocca-Serra,ready for release,subclass,('has part' some immunoprecipitation) and (achieves_planned_objective some ('epigenetic modification identification objective' or 'protein and DNA interaction identification objective')),immunoprecipitation assay,immunoprecipitation,,,,,,,,,,,protein and DNA interaction identification objective,,
OBI:0001960,FALSE,,taxonomic diversity assessment by targeted gene survey,targeted gene survey DNA barcoding,,,environmental gene survey|targeted gene survey,,is an assay which aims to provide information about taxonomic information and community diversity by mean of sequencing specific genomic regions used as marker of identity or diversity.,OBI,"http://www.ncbi.nlm.nih.gov/pubmed/20679230

http://www.ncbi.nlm.nih.gov/pubmed/25367129",,,PERSON:Philippe Rocca-Serra,ready for release,subclass,,sequencing assay,,,,,,,,,,sequence data,population,biodiversity assessment objective,,
OBI:0002014,FALSE,,DNA methylation profiling by ChIP-chip assay,DNA methylation ChIP-chip,,,,,A ChIP-chip assay that identifies sites of DNA methylation.,Penn group,,,,"Person: Chris Stoeckert, Jie Zheng",,subclass,,"ChIP-chip assay, epigenetic modification assay",,,,,,,,,,information content entity,DNA methylation,epigenetic modification identification objective,,
OBI:0002015,FALSE,,transcription profiling by MPSS assay,expression MPSS,,,,,An assay in which the transcriptome of a biological sample is analysed using Massive Parallel Signature Sequencing (MPSS).,http://en.wikipedia.org/wiki/Massively_parallel_signature_sequencing,,,,"Person: Chris Stoeckert, Jie Zheng",,subclass,,transcription profiling assay,"DNA sequencing, library preparation",,,,,,assay bead,,,information content entity,gene expression,transcription profiling indentification objective,,
OBI:0002016,FALSE,,histone modification identification by ChIP-chip assay,histone modification ChIP-chip,,,,,A ChIP-chip assay to identify regions containing specific histones and their modifications.,Penn group,,,,"Person: Chris Stoeckert, Jie Zheng",,subclass,,"ChIP-chip assay, epigenetic modification assay",,,,,,,,,,information content entity,histone modification,epigenetic modification identification objective,,
OBI:0002017,FALSE,,histone modification identification by ChIP-Seq assay,histone modification ChIP-Seq,,,,,A ChIP-seq assay to identify regions containing specific histones and their modifications.,Penn group,,,,"Person: Chris Stoeckert, Jie Zheng",,subclass,,ChIP-seq assay,,,,,,,,,,information content entity,histone modification,epigenetic modification indentification objective,,
OBI:0002018,FALSE,,transcription factor binding site identification by ChIP-chip assay,TF Binding ChIP-chip,,,,,A ChIP-chip assay to identify binding sites for transcription factors.,Penn group,,,,"Person: Chris Stoeckert, Jie Zheng",,subclass,,"transcription factor binding site assay, ChIP-chip assay",,,,,,,,,,information content entity,transcription factor binding site,protein and DNA interaction identification objective,,
OBI:0002019,FALSE,,transcription factor binding site identification by ChIP-Seq assay,TF Binding ChIP-Seq,,,,,A ChIP-seq assay to identify binding sites for transcription factors.,Penn group,,,,"Person: Chris Stoeckert, Jie Zheng",,subclass,,"transcription factor binding site assay, ChIP-seq assay",,,,,,,,,,information content entity,transcription factor binding site,protein and DNA interaction identification objective,,
OBI:0002020,FALSE,,epigenetic modification assay,,,,,,"An assay that identifies epigenetic modification including histone modifications, open chromatin, and DNA methylation.",Penn group,,,,"Person: Chris Stoeckert, Jie Zheng",,subclass,assay and (achieves_planned_objective some 'epigenetic modification identification objective'),assay,,,,,,,,,,,,epigenetic modification identification objective,,
OBI:0002029,FALSE,,serial analysis of gene expression,SAGE,,,,,A transcription profiling assay which aims to quantify RNA through creating short signature tags of the messages and ligating them into a larger molecule that is than sequenced.,PMID:7570003,PMID:15905473,Details see tracker: https://sourceforge.net/p/obi/obi-terms/720/,,"Person:Janos Demeter, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,transcription profiling assay,"SAGE ditag library preparation, sequencing assay",,,,,,DNA sequencer,,,,,,,
OBI:0002030,FALSE,,genotyping by tiling array,DNA sequence variation detection by tiling array,,,,,"A genotyping by array assay that aims to detect variation in (mostly) genomic DNA of an organism, strain, etc relative to some reference sequence employing tiling array technology.",PMID:19521816,PMID:19521816,Details see tracker: https://sourceforge.net/p/obi/obi-terms/720/,,"Person:Janos Demeter, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,genotyping by array assay,,,,,,,tiling microarray,,,,,,,
OBI:0002031,FALSE,,genotyping by SNP array,DNA sequence variation detection by snp array,,,,,"A genotyping by array assay that aims to detect variation in (mostly) genomic DNA of an organism, strain, etc relative to some reference sequence employing snp array technology. ",PMID:20393561,PMID:20080586,Details see tracker: https://sourceforge.net/p/obi/obi-terms/720/,,"Person:Janos Demeter, Chris Stoeckert, Jie Zheng",metadata complete,subclass,,genotyping by array assay,,,,,,,SNP microarray,,,,,,,
OBI:0002032,FALSE,,parallel analysis of RNA structure,PARS,,,,,"A single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing based on deep sequencing fragments of RNAs that were treated with structure-specific enzymes, thus providing simultaneous in vitro profiling of the secondary structure of thousands of RNA species at single nucleotide resolution.",pmid:20811459,pmid:20811459,Details see tracker: https://sourceforge.net/p/obi/obi-terms/725/,,"Janos Demeter, Chris Stoeckert",,subclass,,single-nucleotide-resolution nucleic acid structure mapping assay using enzymatic probing,,,,,,,,,,,,,,
OBI:0002033,FALSE,,translation-associated transcript leader sequencing,TATL-seq,,,,,An RNA-seq assay that combines TL-seq with polysome fractionation,pmid:23580730,pmid:23580730,Details see tracker: https://sourceforge.net/p/obi/obi-terms/725/,,"Janos Demeter, Chris Stoeckert",,subclass,,RNA-seq assay,,,,,,,,,,,,,,
OBI:0002034,FALSE,,transcript leader sequencing,TL-seq,,,,,An RNA-seq assay combining enzymatic capture of m(7)G-capped mRNA 5' ends with high-throughput sequencing.,pmid:23580730,pmid:23580730,Details see tracker: https://sourceforge.net/p/obi/obi-terms/725/,,"Janos Demeter, Chris Stoeckert",,subclass,,RNA-seq assay,,,,,,,,,,,,,,
OBI:0002035,FALSE,,peptide mass fingerprinting,protein fingerprinting|PMF,,,,,"A mass spectrometry assay in which an unknown protein of interest is cleaved into smaller peptides, whose absolute masses can be accurately measured with a mass spectrometer.  These masses are then compared to values in a database containing known protein sequences.",ERO:0001668 (http://en.wikipedia.org/wiki/Peptide_mass_fingerprinting),,Details see tracker: https://sourceforge.net/p/obi/obi-terms/725/,,"Janos Demeter, Chris Stoeckert",,subclass,,mass spectrometry assay,,,,,,,,,,,,,,
OBI:0002036,FALSE,,array based nucleic acid structure mapping assay,,,,,,An assay which aims to provide information about the in vivo organization/structure of nucleic acids using chemical or enzymatic probes using a microarray.,OBI:0000870,pmid:23580730,Details see tracker: https://sourceforge.net/p/obi/obi-terms/725/,,"Janos Demeter, Chris Stoeckert",,subclass,,assay,,,,,,,,,,,,,,
OBI:0002037,FALSE,,micrococcal nuclease digestion followed by tiling array assay,,,,,,"An array based nucleic acid structure mapping assay to identify nucleosome positions, genome wide, by detection of regions protected by nucleosomes from digestion by micrococal nuclease using tiling arrays.",,pmid:17873876,Details see tracker: https://sourceforge.net/p/obi/obi-terms/725/,,"Janos Demeter, Chris Stoeckert",,subclass,,array based nucleic acid structure mapping assay,,,,,,,,,,,,,,
OBI:0002038,FALSE,,ribosomal profiling by sequencing assay,ribosomal profiling|Ribo-seq|Ribo-seq assay,,,,,A RNA-seq assay to sequence only mRNA protected by the ribosome during translation.,"Ingolia, Nicholas T. (28 January 2014). ""Ribosome profiling: new views of translation, from single codons to genome scale"". Nature Reviews Genetics 15 (3): 205-213. doi:10.1038/nrg3645. PMID 24468696.","Aspden et al., (August 2014). ""Extensive translation of small open reading frames revealed by poly-ribo-seq."" eLIFE 2014;3:e03528",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",,subclass,,RNA-seq assay,,,,,,,,,,,,,,
OBI:0002039,FALSE,,assay for transposase-accessible chromatin using sequencing,ATAC-seq|ATAC-seq assay,,,,,"An assay to capture the location of open chromatin, DNA-binding proteins, individual nucleosomes and chromatin compaction at nucleotide resolution by Tn5 transposase insertion.","Buenrostro JD, Giresi PG, Zaba LC, Chang HY, and Greenleaf WJ. (2013) ""Transposition of native chromatin for fast and sensitive epigenomic profiling of open chromatin, DNA-binding proteins and nucleosome position."" Nature Methods","Kasinathan et al., (February 2014). ""High-resolution mapping of transcription factor binding sites on natitve chromatin."" Nat Methods 11(2):203-9. doi: 10.1038/nmeth.2766.",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",,subclass,,assay,,,,,,,,,,,,,,
OBI:0002040,FALSE,,chromatin isolation by RNA purification sequencing assay,ChIRP-seq|Chromatin Isolation by RNA purification|ChIRP-seq assay,,,,,A detection of specific nucleic acids with complementary probes to discover regions of the genome which are bound by a specific RNA (or a by a ribonucleoprotein containing the RNA of interest) using high-throughput sequencing.,"Chu et al. (31 August 2011). ""Genomic Maps of Long Noncoding RNA Occupancy Reveal Principles of RNA-Chromatin Interactions"". Molecular Cell.","Csorba et al., (November 2014). ""Antisense COOLAIR mediates the coordinated switching of chromatin states at FLC during vernalization."" Proc Natl Acad Sci 111(45):16160-5. doi: 10.1073/pnas.1419030111.",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",,subclass,,detection of specific nucleic acid polymers with complementary probes,,,,,,,,,,,,,,
OBI:0002041,FALSE,,self-transcribing active regulatory region sequencing assay,self-transcribing active regulatory region sequencing|STARR-seq assay|STARR-seq,,,,,"A RNA-seq assay to identify the sequences that act as transcriptional enhancers in a direct, quantitative, and genome-wide manner from sheared genomic DNA.","Arnold et al. (January 2013). ""Genome-Wide Quantitative Enhancer Activity Maps Identified by STARR-seq"". Science 339 (6123): 1074-7.","Bohla et al., (September 2014). ""A functional insulator screen identifies NURF and dREAM components to be required for enhancer-blocking."" PLoS One 9(9):e107765. doi: 10.1371/journal.pone.0107765.",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",,subclass,,RNA-seq assay,,,,,,,,,,,,,,
OBI:0002042,FALSE,,carbon-copy chromosome conformation capture assay followed by sequencing assay,HiC|Carbon-copy chromosome conformation capture assay followed by sequencing|HiC assay,,,,,"A carbon-copy chromosome conformation capture assay to analyze the organization of chromosomes in an unbiased, genome-wide manner using high throughput sequening following carbon-copy chromosome conformation capture.","Lieberman-Aiden E, et al. (2009). Comprehensive mapping of long-range interactions reveals folding principles of the human genome. Science 326: 289-293.","Fudenberg et al., (November 2014). ""High order chromatin architecture shapes the landscape of chromosomal alterations in cancer."" Nat Biotechol 29(12):1109-13. doi: 10.1038/nbt.2049.",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",,subclass,,Carbon-copy chromosome conformation capture assay,,,,,,,,,,,,,,
OBI:0002043,FALSE,,individual-nucleotide resolution cross-linking and immunoprecipitation sequencing assay,iCLIP assay|individual-nucleotide resolution cross-linking and immunoprecipitation|iCLIP,,,,,"A cross-linking immunoprecipitation high-throughput sequencing assay to identify protein-RNA interactions by using UV light to covalently bind proteins and RNA molecules, allowing for a very stringent purification of the linked protein-RNA complexes.","Huppertz et al., (February 2014). ""iCLIP: protein-RNA interactions at nucleotide resolution."". Methods (San Diego, Calif.) 65 (3): 274-87. doi:10.1016/j.ymeth.2013.10.011","Kí_nig et al., (18 January 2012). ""Protein-RNA interactions: new genomic technologies and perspectives"". Nature Reviews Genetics 13 (2): 77-83. doi:10.1038/nrg3141",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",,subclass,,cross-linking immunoprecipitation high-throughput sequencing assay,,,,,,,,,,,,,"shall add process, like cross-linking, immunoprecipitation, sequenceing assay?",
OBI:0002044,FALSE,,RNA Bind-n-Seq assay,RNA Bind-n-Seq|RNBS assay|RBNS,,,,,A RNA-seq assay that comprehensively characterizes sequence and structural specificity of RNA binding proteins (RBPs),"Lambert et al., (June 2014). ""RNA Bind-n-Seq: quantitative assessment of the sequence and structural binding specificity of RNA binding proteins."" Mol Cell. 2014 Jun 5;54(5):887-900. doi: 10.1016/j.molcel.2014.04.016",,,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",,subclass,,RNA-seq assay,,,,,,,,,,,,,,
OBI:0002045,FALSE,,poly(A)-site sequencing assay,PAS-seq|PAS-seq assay|Poly(A)-site sequencing,,,,,A RNA-seq assay for quantitatively profiling RNA polyadenylation at the transcriptome level.,"Shepard et al., (April 2011). ""Complex and dynamic landscape of RNA polyadenylation revealed by PAS-Seq."" RNA. 2011 Apr;17(4):761-72. doi: 10.1261/rna.2581711","Wu et al., (July 2014). ""Genome-wide determination of poly(A) sites in Medicago truncatula: evolutionary conservation of alternative poly(A) site choice. BMC Genomics. 2014 Jul 21;15:615. doi: 10.1186/1471-2164-15-615.",,,"Person: Venkat Malladi, Chris Stoeckert, Jie Zheng",,subclass,,RNA-seq assay,,,,,,,,,,,,,,
OBI:0002082,FALSE,,reporter gene assay,reporter gene detection assay,,,,,An assay in which expression of a reporter gene is detected that was inserted under the control of a regulatory sequence of interest.,"Paul D. Thomas, Yang Chai; FaceBase",,tracker item: 781,,"Chris Stoeckert, Paul D. Thomas",pending final vetting,subclass,,assay,,,,,,,,,,,,,,
OBI:0002083,FALSE,,enhancer activity detection by reporter gene assay,enhancer reporter gene assay,,,,,A reporter gene assay in which expression of a reporter gene is detected that was inserted under the control of an enhancer of interest.,"FaceBase, PMID 24614317","PMID 19268701: ""we experimentally concatenated up to four enhancers from different genes and used a transgenic mouse assay to compare the in vivo activity of these compound elements with that of the single modules""",Tracker item: 781,,"Paul D. Thomas, Yang Chai",pending final vetting,subclass,,reporter gene assay,,,,,,,,,,,,,,
